0	94	72	20
1	35	76	10
2	76	99	20
3	127	28	30
4	8	119	20
5	102	110	10
6	24	24	10
7	64	61	20
8	22	38	20
9	88	72	30
10	107	63	30
11	33	131	30
12	123	112	20
13	67	55	10
14	39	128	10
15	136	0	30
16	93	36	20
17	7	115	10
18	21	44	20
19	28	74	20
20	86	102	10
21	19	37	20
22	84	36	10
23	118	108	10
24	132	24	10
25	6	25	10
26	28	78	10
27	2	132	10
28	22	22	10
29	88	35	20
30	94	104	10
31	74	96	30
32	0	117	30
33	99	96	10
34	119	114	20
35	28	107	20
36	133	12	10
37	35	102	10
38	36	105	20
39	84	39	20
40	34	138	20
41	136	29	10
42	33	133	20
43	16	39	20
44	32	77	20
45	122	131	20
46	77	100	20
47	96	26	10
48	127	29	20
49	91	95	20
50	42	136	10
51	36	132	10
52	103	106	30
53	107	105	10
54	96	74	10
55	63	57	10
56	122	113	20
57	14	131	10
58	30	31	20
59	40	132	20
60	99	26	40
61	10	118	10
62	102	60	30
63	120	136	10
64	97	29	30
65	19	39	10
66	27	77	10
67	30	24	20
68	126	112	10
69	105	110	20
70	118	114	10
71	135	6	30
72	111	66	20
73	95	77	10
74	139	10	30
75	61	54	10
76	16	38	20
77	16	138	10
78	91	78	10
79	91	71	20
80	0	27	30
81	6	113	20
82	119	139	20
83	35	99	20
84	31	112	20
85	5	119	20
86	3	135	20
87	30	136	10
88	20	39	10
89	131	11	10
90	28	33	20
91	4	23	10
92	87	108	20
93	21	26	20
94	121	134	20
95	119	130	20
96	91	108	10
97	130	27	30
98	101	107	10
99	34	108	10
100	131	31	20
