0	0	0	0
1	33	78	20
2	59	52	20
3	10	137	30
4	4	28	10
5	25	26	20
6	86	37	10
7	1	109	10
8	6	135	40
9	32	79	20
10	24	26	20
11	86	36	20
12	95	35	10
13	63	50	10
14	100	106	10
15	99	112	20
16	36	135	10
17	57	59	10
18	8	124	10
19	85	106	20
20	103	69	30
21	109	131	20
22	43	140	10
23	115	134	30
24	98	70	10
25	112	67	10
26	102	104	20
27	93	75	30
28	90	104	20
29	127	108	10
30	84	99	20
31	113	69	20
32	129	9	10
33	18	38	30
34	30	27	10
35	25	80	20
36	17	37	30
37	32	106	10
38	43	135	10
39	61	59	20
40	104	106	20
41	109	71	20
42	121	110	30
43	61	48	20
44	74	99	20
45	89	73	10
46	21	25	20
47	99	28	30
48	101	96	10
49	9	114	20
50	121	112	20
51	137	6	10
52	118	131	20
53	34	82	10
54	4	125	30
55	26	105	40
56	35	123	20
57	21	48	10
58	21	115	10
59	99	108	20
60	1	34	20
61	94	70	20
62	74	93	20
63	32	128	20
64	94	73	10
65	135	3	20
66	97	28	20
67	59	56	20
68	80	97	10
69	134	31	20
70	103	34	30
71	30	79	20
72	4	30	40
73	87	39	20
74	90	101	10
75	119	136	30
76	78	92	30
77	110	66	10
78	62	58	20
79	127	112	20
80	113	71	10
81	34	104	10
82	2	28	10
83	17	43	10
84	1	24	10
85	112	71	20
86	135	0	10
87	125	108	20
88	8	138	30
89	103	111	20
90	57	53	10
91	98	31	20
92	116	132	10
93	28	99	10
94	137	3	20
95	29	28	10
96	94	105	10
97	92	107	30
98	10	134	10
99	34	79	10
